Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Maruti Suzuki,Sx4,68650.0,Manual,second,hybrid,15
Maruti Suzuki,Wagon-R,15000.0,Manual,first,Petrol,3
Volkswagen,VentoTest,62000.0,Automatic,second,Petrol,13
Toyota,Camry,85000.0,Automatic,second,hybrid,12
Honda,City,91000.0,Automatic,second,Hybrid/CNG,17
Maruti Suzuki,Omni,115000.0,Automatic,second,hybrid,10
Hyundai,Eon,56000.0,Manual,second,Petrol,13
Hyundai,Creta,70000.0,Manual,first,Diesel,8
Tata,Tiago,20000.0,Manual,first,hybrid,4
Hyundai,Grand i10,61000.0,Manual,first,Petrol,13
Toyota,Glanza,15000.0,Automatic,first,Petrol,6
Hyundai,Grand i10,44681.0,Manual,first,Petrol,6
Audi,A6,16250.0,Automatic,first,Petrol,13
Audi,A4,29600.0,Automatic,second,Diesel,9
Maruti Suzuki,Swift-Dzire-Tour,87000.0,Manual,second,Hybrid/CNG,6
Maruti Suzuki,Wagon-R,34000.0,Manual,second,hybrid,9
Maruti Suzuki,Ignis,81000.0,Automatic,second,Petrol,7
Maruti Suzuki,Swift-Dzire,101000.0,Manual,first,Diesel,9
Tata,Safari,0.0,Manual,second,Diesel,16
Maruti Suzuki,Omni,57376.0,Manual,second,Petrol,8
Maruti Suzuki,Alto-K10,48700.0,Automatic,second,Petrol,10
Toyota,Corolla Altis,96000.0,Automatic,second,hybrid,16
Ford,Fiesta,96000.0,Manual,second,Diesel,15
Maruti Suzuki,Swift-Dzire,54000.0,Manual,second,Hybrid/CNG,11
Maruti Suzuki,maruti-suzuki-brezza,35000.0,Automatic,first,Diesel,7
Renault,Duster,77000.0,Manual,second,Petrol,13
Hyundai,Aura,89500.0,Automatic,second,hybrid,5
Ford,Endeavour,63988.0,Automatic,first,Diesel,7
Audi,A4,42000.0,Automatic,first,Diesel,13
Maruti Suzuki,Alto-K10,80000.0,Manual,second,Petrol,14
Volkswagen,Polo,86580.0,Manual,second,Diesel,8
Mahindra,XUV500,65200.0,Manual,second,Diesel,11
Maruti Suzuki,Ertiga,86550.0,Manual,first,hybrid,6
Toyota,Camry,40000.0,Automatic,second,Petrol,4
Toyota,Innova Crysta,137000.0,Automatic,second,Diesel,9
Honda,City,52000.0,Manual,first,Petrol,10
Mahindra,Xylo,267000.0,Manual,second,Diesel,11
Audi,Q5,50000.0,Automatic,second,Diesel,12
Maruti Suzuki,Wagon R,95000.0,Manual,second,Petrol,15
MG,Hector Plus,8000.0,Automatic,first,Petrol,2
Maruti Suzuki,Swift,17000.0,Manual,first,Petrol,3
Honda,City,65000.0,Automatic,first,Hybrid/CNG,11
Maruti Suzuki,Celerio,82000.0,Automatic,first,Petrol,8
Mahindra,Scorpio,16.0,Automatic,second,Diesel,7
Maruti Suzuki,Fronx,13000.0,Automatic,first,Petrol,3
Maruti Suzuki,Swift,76000.0,Manual,first,Diesel,12
Tata,Indigo Cs,80000.0,Manual,second,Petrol,18
Mahindra,XUV 300,44000.0,Manual,first,Diesel,4
Maruti Suzuki,Vitara-Brezza,55000.0,Manual,second,Diesel,9
Hyundai,i10,91000.0,Manual,first,Petrol,17
Maruti Suzuki,Wagon-R-1-0,30000.0,Automatic,first,hybrid,2
Maruti Suzuki,Ignis,77500.0,Automatic,first,hybrid,8
Mercedes-Benz,GLE COUPE,14000.0,Automatic,second,Petrol,4
Force,Motors FM Force One Test,700000.0,Automatic,first,Hybrid/CNG,10
Hyundai,New Elantra,64000.0,Manual,second,Petrol,12
Maruti Suzuki,Ignis,105000.0,Automatic,second,Hybrid/CNG,8
Toyota,Innova,144600.0,Manual,second,Diesel,14
Honda,Accord,70000.0,Automatic,second,hybrid,19
Nissan,Sunny,114000.0,Manual,second,Diesel,14
Honda,WRV,56000.0,Manual,first,Diesel,9
Maruti Suzuki,Celerio,90000.0,Automatic,first,Petrol,11
Maruti Suzuki,Celerio,45000.0,Manual,first,hybrid,7
Maruti Suzuki,Vitara-Brezza,51421.0,Manual,first,Petrol,6
Honda,Amaze,85000.0,Manual,second,Diesel,11
Mercedes-Benz,E-Class,87000.0,Automatic,second,Diesel,12
Maruti Suzuki,Ertiga,90000.0,Manual,second,Hybrid/CNG,13
Hyundai,Verna,80000.0,Manual,second,Diesel,16
Tata,Safari,85000.0,Manual,second,Diesel,14
Hyundai,Verna,71900.0,Automatic,second,Hybrid/CNG,12
Toyota,Etios,200000.0,Manual,second,Diesel,11
Maruti Suzuki,Ciaz,51000.0,Automatic,first,Hybrid/CNG,8
Maruti Suzuki,Wagon-R,10000.0,Manual,first,Petrol,3
BMW,3 Series,85000.0,Automatic,second,Diesel,13
Skoda,Rapid,93857.0,Automatic,second,Petrol,10
Audi,A3,65000.0,Automatic,second,Diesel,11
Volkswagen,VentoTest,55000.0,Manual,second,Diesel,13
Hyundai,New Santro,123000.0,Automatic,first,Hybrid/CNG,7
Maruti Suzuki,Ignis,9665.0,Automatic,first,Petrol,4
Maruti Suzuki,maruti-suzuki-dzire,46000.0,Automatic,second,Petrol,8
Hyundai,New i20,55000.0,Automatic,second,Hybrid/CNG,16
Hyundai,Aura,52000.0,Manual,first,hybrid,6
